60,Oak Aged Ebenezer,Upstream Brewing Company at Legacy,
61,Killer Penguin,Boulder Beer Company,American-Style Barley Wine Ale
62,Oatmeal Stout,Breckenridge Brewery,American-Style Stout
63,Isolation Ale,Odell Brewing,Winter Warmer
64,Festive Ale 2007,Empyrean Brewing Company,
65,Bourbon County Stout 2007,Goose Island Beer Company - Fulton Street,
66,Twelve Days,Hook Norton Brewery,American-Style Stout
67,Seriously Bad Elf,Ridgeway Brewing,
68,Big Shot Seasonal Ale,New Belgium Brewing,Porter
69,God Jul - Winter Ale,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,American-Style Stout
70,Harvest Ale 2007,Sierra Nevada Brewing Co.,American-Style Pale Ale
71,Nut Cracker Ale,Boulevard Brewing Company,Winter Warmer
72,Goosinator Smoked Doppelbock 2007,Left Hand Brewing Company,American-Style Lager
73,Snow Bound Winter Ale,Left Hand Brewing Company,
74,Warrior IPA,Left Hand Brewing Company,American-Style India Pale Ale
75,Petrus Oud Bruin,Brouwerij Bavik - De Brabandere,
76,Petrus Gouden Tripel Ale,Brouwerij Bavik - De Brabandere,
77,Petrus Blond Ale,Brouwerij Bavik - De Brabandere,
78,Petrus Dubbel Bruin Ale,Brouwerij Bavik - De Brabandere,Belgian-Style Dubbel
79,Petrus Speciale,Brouwerij Bavik - De Brabandere,American-Style Pale Ale
80,Weizengold Hefefein,Stieglbrauerei zu Salzburg GmbH,South German-Style Hefeweizen
81,Never Summer Ale,Boulder Beer Company,Winter Warmer
82,Modern Monks Belgian Blonde,Thunderhead Brewery #2,American-Style Pale Ale
83,Grand Cru,Thunderhead Brewery #2,
84,JÃ¶rger WeiÃŸe Hell,Brauerei Grieskirchen AG,South German-Style Hefeweizen
85,OSB Premium Ale,Tomos Watkin and Sons Ltd.,
86,Morocco Ale,Daleside Brewery,
87,Glacier Ale,Red Lodge Ales,American-Style Amber/Red Ale
88,Bent Nail IPA,Red Lodge Ales,American-Style India Pale Ale
89,Espresso Porter,Montana Brewing,
90,Harvest Ale,Montana Brewing,American-Style Pale Ale
91,Stillwater Rye,Montana Brewing,
92,Sharptail Pale Ale,Montana Brewing,American-Style Pale Ale
93,Fat Belly Amber,Montana Brewing,American-Style Amber/Red Ale
94,Whitetail Wheat,Montana Brewing,American-Style Lager
95,Sandbagger Gold,Montana Brewing,
96,Brunette Nut Brown Ale,Nebraska Brewing Company,American-Style Brown Ale
97,Irish Red,Nebraska Brewing Company,
98,Belgian Wit,Nebraska Brewing Company,
99,EOS Hefeweizen,Nebraska Brewing Company,South German-Style Hefeweizen
100,India Pale Ale,Nebraska Brewing Company,American-Style Pale Ale
101,Winter Ale,St Peter's Brewery,Old Ale
102,Pride & Joy Mild Ale,Three Floyds Brewing,English-Style Pale Mild Ale
103,Robert the Bruce Scottish Ale,Three Floyds Brewing,Scotch Ale
104,Lump of Coal Dark Holiday Stout,Ridgeway Brewing,American-Style Stout
105,Warm Welcome Nut Browned Ale,Ridgeway Brewing,American-Style Brown Ale
106,Pendle Witches Brew,Moorhouse's Brewery (Burnley),American-Style Pale Ale
107,Carnegie Stark-Porter,Carlsberg Sverige AB,Porter
108,Harvest Ale 2002,JW Lees and Co (Brewers) Ltd.,Old Ale
109,Woody Organic IPA,Roots Organic Brewing,American-Style India Pale Ale
110,Adriaan,Haarlems Biergenootschap Jopen,
111,Leute Bok Bier,Brouwerij Van Steenberge,Traditional German-Style Bock
112,La Folie Falling Rock,New Belgium Brewing,
113,Oak Aged IPA,Upstream Brewing Company at Legacy,
114,Tikka Gold,Brouwerij Van Steenberge,American-Style Pale Ale
115,La Divine Double Blond,Brasserie de Silly,
116,La Divine Tripel Amber,Brasserie de Silly,
117,Ename Tripel,Brouwerij Roman,
118,Triple Dipsea Belgian,Marin Brewing,
119,Oktoberfest Weizen,Privatbrauerei Erdinger Weissbru,
120,Imperial Hefeweizen,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",
121,Triple Exultation Old Ale,Eel River Brewing,Old Ale
122,Organic Gingerbread Ale,Bison Brewing,
123,Falcon Pale Ale,Rock Bottom Restaurant & Brewery - Denver,American-Style Pale Ale
124,Buzzsaw Brown,Deschutes Brewery,American-Style Brown Ale
125,Eisenbahn South American Pale Ale (S.A.P.A.),Cervejaria Sudbrack,American-Style Pale Ale
126,Geist Bock,Golden Valley Brewery and Pub,Traditional German-Style Bock
127,Troll Porter,Hale's Ales #3,Porter
128,Dark Ale,Coopers Brewery,English-Style Pale Mild Ale
129,Cinder Cone Red,Deschutes Brewery,American-Style Amber/Red Ale
130,LTD 02 Lager,Full Sail Brewing #1,Traditional German-Style Bock
131,Saison Vielle Provision,Brasserie Dupont,
132,Organic Barley Wine Ale 2005,Bison Brewing,
133,Old Boardhead 2006,Full Sail Brewing #1,
134,Blue Dot Double India Pale Ale,Hair of the Dog Brewing,Imperial or Double India Pale Ale
135,Nugget,Full Sail Brewing #1,American-Style Amber/Red Ale
136,American Pale Ale,Spanish Peaks Brewing,American-Style Pale Ale
137,471 Extra ESB,Breckenridge Brewery,
138,Odell Red Ale,Odell Brewing,American-Style Amber/Red Ale
139,Long Leg English Fuggles Hop Ale,Camerons Brewery Company,
140,Summer Lightning,Hop Back Brewery,
141,Haymaker Extra Pale Ale,BridgePort Brewing,
142,Pale Ale,Dick's Brewing,American-Style Pale Ale
143,Silk Lady,Dick's Brewing,American-Style Pale Ale
144,Danger Ale,Dick's Brewing,American-Style Brown Ale
145,Irish Style Ale,Dick's Brewing,
146,Yeti Special Export,Yuksom Breweries,American-Style Lager
147,Steelie Brown Ale,Skagit River Brewing,American-Style Brown Ale
148,Bond Street 19th Anniversary,Deschutes Brewery,
149,Trumpeter,Skagit River Brewing,American-Style Stout
150,Nitro Porter,Thunderhead Brewery #2,Porter
151,Fourteen,Avery Brewing Company,
152,Old Stock Ale 2007,North Coast Brewing Company,Old Ale
153,Cold Hop,Boulder Beer Company,English-Style India Pale Ale
154,Hitachino Nest Espresso Stout,Kiuchi Shuzou Goushi Kaisya,
155,Witte,De Struise Brouwers,
156,Slaapmutske Triple Nightcap,De Proef Brouwerij,
157,Biere de Mars,Jolly Pumpkin Artisan Ales,Old Ale
158,Kerst Pater Special Christmas Beer,Brouwerij Van Den Bossche,
159,Zoetzuur Flemish Ale,De Proef Brouwerij,
160,WPA (Wheat Pale Ale),Minneapolis Town Hall Brewery,
161,Smoked Hefe,Minneapolis Town Hall Brewery,American-Style Lager
162,The Unforgiven Amber Ale,Rush River Brewing,American-Style Amber/Red Ale
163,Strange Ghost,Brasserie Fantme,
164,Duke IPA,Granite City Food & Brewery - Omaha,American-Style India Pale Ale
165,Broad Axe Stout,Granite City Food & Brewery - Omaha,American-Style Stout
166,Northern Light Lager,Granite City Food & Brewery - Omaha,American-Style Lager
167,Podge Belgian Imperial Stout,Alvinne Picobrouwerij,American-Style Stout
168,Okocim Porter,Browar Okocim,Porter
169,1809,Doemens e.V.,
170,Pannepot,De Struise Brouwers,
171,Samurai,Great Divide Brewing,
172,Crystal Ale,Big Sky Brewing,
173,Gavroche French Red Ale,Brasserie De Saint Sylvestre,
174,Coney Island Lager,Shmaltz Enterprises,
175,La BiÃ¨re des Collines van de Saisis,Brasserie Ellezelloise,
176,Dark Beer / StiftsbrÃ¤u,Brauerei Gss,
177,LuciÃ©rnaga,Jolly Pumpkin Artisan Ales,Belgian-Style Pale Ale
178,CuvÃ©e des Champions 2003-2004,Brasserie-Brouwerij Cantillon,Belgian-Style Fruit Lambic
179,Beer Geek Breakfast,Mikkeller,American-Style Imperial Stout
180,Flemish Primitive Wild Ale (Spoon Whacker),De Proef Brouwerij,
181,Bock,Anchor Brewing,Traditional German-Style Bock
182,Double India Pale Ale,Mad River Brewing,American-Style Pale Ale
183,Old Bawdy 2006,Pike Pub and Brewery,
184,Extra Strong Vintage Ale,Coopers Brewery,
185,Certified Organic India Pale Ale,Eel River Brewing,American-Style Pale Ale
186,Certified Organic Porter,Eel River Brewing,Porter
187,Certified Organic Extra Pale Ale,Eel River Brewing,
188,Certified Organic Amber Ale,Eel River Brewing,American-Style Amber/Red Ale
189,Farm House Ale,Jack Russell Brewing,
190,Beer Town Brown,BridgePort Brewing,American-Style Brown Ale
191,Tanners Jack,Morland and Co.,
192,Mephistopheles Stout,Avery Brewing Company,American-Style Stout
193,NÃ¸gne Ã˜ Brown Ale,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,American-Style Brown Ale
194,Vertical Epic 07.07.07,Stone Brewing Co.,
195,Ringwood Brewery Old Thumper Extra Special Ale,Shipyard Brewing - Portland,
196,Export Ale,Shipyard Brewing - Portland,American-Style Pale Ale
197,Bourbon Barrel Porter,Oregon Trail Brewery,
198,Old Guardian Barley Wine 2007,Stone Brewing Co.,
199,White Christmas,Moylan's Brewery & Restaurant,
200,Winter,Brasserie de l'Abbaye Val-Dieu,
201,Undercover Investigation Shut-Down Ale,Lagunitas Brewing Company,American-Style Pale Ale
202,Harvest Ale 2006,JW Lees and Co (Brewers) Ltd.,Old Ale
203,Classic Gueuze,Brasserie-Brouwerij Cantillon,Belgian-Style Fruit Lambic
204,Gueuze-Lambic,Upstream Brewing Company at Legacy,Belgian-Style Fruit Lambic
205,Schwarzbier / Dunkel,Einbecker Brauhaus AG,German-Style Schwarzbier
206,Sawtooth Ale,Left Hand Brewing Company,American-Style Pale Ale
207,Pole Star Pilsner,Left Hand Brewing Company,
208,90 Shilling,Odell Brewing,Scottish-Style Light Ale
209,Sunshine Wheat,New Belgium Brewing,Light American Wheat Ale or Lager
210,Grand Cru,Brasserie De L'Abbaye Des Rocs,
211,Der Weisse Bock,Bamberger Mahr's-Bru,South German-Style Weizenbock
212,Stouterik / The Brussels Stout,Brasserie de la Senne,
213,Black Jack Porter,Left Hand Brewing Company,Porter
214,Lunar Ale,Boulevard Brewing Company,American-Style Brown Ale
215,Denver Pale Ale / DPA,Great Divide Brewing,American-Style Pale Ale
216,Grotten Flemish Ale,Brouwerij St. Bernardus,Other Belgian-Style Ales
217,Grand Cru,Upstream Brewing Old Market,
218,Summer Common,Empyrean Brewing Company,
219,Golden Ale,St Peter's Brewery,
220,Ambree,Brasserie De L'Abbaye Des Rocs,
221,Pater 6,Brouwerij St. Bernardus,Belgian-Style Dubbel
222,Blanche de Namur,Brasserie du Bocq,
223,Skinny Dip,New Belgium Brewing,Golden or Blonde Ale
224,Blanche Double,Brasserie De L'Abbaye Des Rocs,
225,Summer Bright Ale,Breckenridge Brewery,
226,Mothership Wit,New Belgium Brewing,
227,Lia Fail Stone of Destiny Ale,Inveralmond Brewery,
228,Premium XB Bluebird Bitter,Coniston Brewing,
229,IPA,Ridgeway Brewing,American-Style India Pale Ale
230,Houblon,Brasserie D'Achouffe,
231,Double Pilsner,Odell Brewing,American-Style Lager
232,Creamy Dark,Jacob Leinenkugel Brewing Company,American-Style Lager
233,Premium Pils Edelherb,Kulmbacher Brauerei AG,
234,StÃ¼venbrÃ¤u Maibock,Gottberg Brew Pub,Traditional German-Style Bock
235,Jack of Spades Schwarzbier,Gottberg Brew Pub,German-Style Schwarzbier
236,Shiner Hefeweizen,Spoetzl Brewery,South German-Style Hefeweizen
237,Sapporo Premium Beer,Sleeman Brewing & Malting,American-Style Lager
238,Dark German Lager,Empyrean Brewing Company,
239,Spring Heat Spiced Wheat,Anheuser-Busch,
240,Gose,Gasthaus & Gosebrauerei Bayerischer Bahnhof,
241,Pils,Spaten-Franziskaner-BrÃ¤u,
242,New,Tooheys,American-Style Lager
243,Eisenbahn Defumada,Cervejaria Sudbrack,
244,Eisenbahn Escura,Cervejaria Sudbrack,German-Style Schwarzbier
245,Eisenbahn Dourada,Cervejaria Sudbrack,
246,Fallen Angel Sweet Stout,Empyrean Brewing Company,American-Style Stout
247,Hot Shot ESB,Great Divide Brewing,Extra Special Bitter
248,Porter,Bryggeriet lfabrikken,Porter
249,NÃ¸gne Ã˜ Imperial Stout,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,American-Style Imperial Stout
250,NÃ¸gne Ã˜ Porter,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,Porter
251,NÃ¸gne Ã˜ Pale Ale,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,American-Style Pale Ale
252,Eccentric Belgian Wheat,Empyrean Brewing Company,
253,Oatmeal Stout,Tied House Cafe & Brewery - San Jose,American-Style Stout
254,Amber Light,Tied House Cafe & Brewery - San Jose,American-Style Lager
255,New World Wheat,Tied House Cafe & Brewery - San Jose,American-Style Lager
256,Maibock,Tied House Cafe & Brewery - San Jose,Traditional German-Style Bock
257,Ironwood Dark,Tied House Cafe & Brewery - San Jose,American-Style Brown Ale
258,Cascade Amber,Tied House Cafe & Brewery - San Jose,American-Style Amber/Red Ale
259,Alpine Gold,Tied House Cafe & Brewery - San Jose,
260,Illuminator Doppelbock,Half Moon Bay Brewing,Traditional German-Style Bock
261,Old Princeton Landing IPA,Half Moon Bay Brewing,American-Style India Pale Ale
262,Paddle Out Stout,Half Moon Bay Brewing,American-Style Stout
263,Pillar Point Pale Ale,Half Moon Bay Brewing,American-Style Pale Ale
264,Sandy Beach Blonde Hefeweizen,Half Moon Bay Brewing,South German-Style Hefeweizen
265,Mavericks Amber Ale,Half Moon Bay Brewing,American-Style Amber/Red Ale
266,Harbor Light Ale,Half Moon Bay Brewing,
267,Leroy Barleywine,Seabright Brewery,
268,Oatmeal Stout,Seabright Brewery,American-Style Stout
269,Amber,Seabright Brewery,American-Style Amber/Red Ale
270,Blur IPA,Seabright Brewery,American-Style India Pale Ale
271,Pelican Pale,Seabright Brewery,American-Style Pale Ale
272,Brew Ribbon,Seabright Brewery,American-Style Lager
273,Casey Jones Imperial IPA,Iron Springs Pub & Brewery,American-Style India Pale Ale
274,Fairfax Coffee Porter,Iron Springs Pub & Brewery,
275,Epiphany Ale,Iron Springs Pub & Brewery,American-Style Amber/Red Ale
276,IPA,Iron Springs Pub & Brewery,American-Style India Pale Ale
277,Chazz Cat Rye,Iron Springs Pub & Brewery,American-Style Lager
278,Shining Star Pale Ale,Iron Springs Pub & Brewery,American-Style Pale Ale
279,Honey Bunny Blonde Ale,Iron Springs Pub & Brewery,American-Style Lager
280,Kent Lake Kolsch,Iron Springs Pub & Brewery,
281,Old Blarney Barleywine,Moylan's Brewery & Restaurant,
282,Irish Dry Stout,Moylan's Brewery & Restaurant,American-Style Stout
283,Kilt Lifter Scottish Ale,Moylan's Brewery & Restaurant,Scotch Ale
284,India Pale Ale,Moylan's Brewery & Restaurant,American-Style Pale Ale
285,Blonde Bock,Gordon Biersch Brewing,Traditional German-Style Bock
286,Schwarzbier,Gordon Biersch Brewing,German-Style Schwarzbier
287,Czech Lager,Gordon Biersch Brewing,
288,Yule Tide,Clipper City Brewing Co.,Belgian-Style Tripel
289,Pilsner,Gordon Biersch Brewing,
290,Warka Strong,Browar Warka,American-Style Lager
291,Porter,Roost Brewery,Porter
292,ESB,Roost Brewery,
293,Pale Ale,Roost Brewery,American-Style Pale Ale
294,Kristall Weizen,Roost Brewery,American-Style Lager
295,ESB (Extra Special Blizzard),Snowshoe Brewing - Sonora,
296,Paint the Town Red,HopTown Brewing,American-Style Amber/Red Ale
297,Golden Ale,HopTown Brewing,
298,Train Wreck IPA,Pleasanton Main Street Brewery,American-Style India Pale Ale
299,Zone 7 Porter,Pleasanton Main Street Brewery,Porter
300,Pleasanton Pale,Pleasanton Main Street Brewery,American-Style Pale Ale
301,Island Wheat,Pleasanton Main Street Brewery,American-Style Lager
302,Hefeweizen,Jack's Brewing,South German-Style Hefeweizen
303,Red Ale,Jack's Brewing,
304,Penalty Shot Porter,Jack's Brewing,Porter
305,India Pale Ale,Jack's Brewing,American-Style Pale Ale
306,Grid Iron Amber Ale,Jack's Brewing,American-Style Amber/Red Ale
307,Boys of Summer Wheat,Jack's Brewing,American-Style Lager
308,Pale Ale,Firehouse Grill & Brewery,American-Style Pale Ale
309,Red Ale,Firehouse Grill & Brewery,American-Style Amber/Red Ale
310,Hefeweizen,Firehouse Grill & Brewery,American-Style Lager
311,Bitter,Firehouse Grill & Brewery,
312,Double IPA,Firehouse Grill & Brewery,American-Style India Pale Ale
313,Tatonka Stout,BJ's Restaurant and Brewery,American-Style Imperial Stout
314,P.M. Porter,BJ's Restaurant and Brewery,Porter
315,Jeremiah Red,BJ's Restaurant and Brewery,Irish-Style Red Ale
316,Piranha Pale Ale,BJ's Restaurant and Brewery,American-Style Pale Ale
317,Harvest Hefeweizen,BJ's Restaurant and Brewery,South German-Style Hefeweizen
318,Brewhouse Blonde,BJ's Restaurant and Brewery,
319,Nutty Brewnette,BJ's Restaurant and Brewery,American-Style Brown Ale
320,India Pale Ale (IPA),Faultline Brewing #1,American-Style India Pale Ale
321,Belgian Tripel,Faultline Brewing #1,
322,Belgian Abbey,Faultline Brewing #1,
323,Stout,Faultline Brewing #1,American-Style Stout
324,Pale Ale,Faultline Brewing #1,American-Style Pale Ale
325,Best Bitter,Faultline Brewing #1,
326,Hefe Weizen,Faultline Brewing #1,South German-Style Hefeweizen
327,Pilsner,Faultline Brewing #1,
328,KÃ¶lsch,Faultline Brewing #1,
329,Harvest Ale 2005 (Whisky),JW Lees and Co (Brewers) Ltd.,
330,Harvest Ale 2005 (Calvados),JW Lees and Co (Brewers) Ltd.,
331,Harvest Ale 2005 (Sherry),JW Lees and Co (Brewers) Ltd.,
332,Old Crustacean Barleywine 2006,Rogue Ales,
333,Avalanche Amber,Breckenridge Brewery,American-Style Amber/Red Ale
334,Hefe Proper Ale,Breckenridge Brewery,American-Style Lager
335,Levity Amber Ale,Odell Brewing,American-Style Amber/Red Ale
336,Easy Street Wheat,Odell Brewing,Light American Wheat Ale or Lager
337,Boulevard Pale Ale,Boulevard Brewing Company,American-Style Pale Ale
338,Bully! Porter,Boulevard Brewing Company,Porter
339,Bovine Belgian Winter Ale,Little Apple Brewing,
340,XX Black Angus Stout,Little Apple Brewing,American-Style Stout
341,Blarney Stone Stout,Little Apple Brewing,American-Style Stout
342,Bison Brown Ale,Little Apple Brewing,American-Style Brown Ale
343,Prairie Pale,Little Apple Brewing,American-Style Pale Ale
344,Wildcat Wheat,Little Apple Brewing,American-Style Lager
345,Boulevard Dry Stout,Boulevard Brewing Company,American-Style Stout
346,Planet Porter / Boulder Porter,Boulder Beer Company,Porter
347,Amber,Brasserie La Caracole,
348,Blanche des Moines,Brasserie du Bocq,
349,Triple Moine,Brasserie du Bocq,
350,Arabier,Brouwerij De Dolle Brouwers,Belgian-Style Pale Strong Ale
351,Bos Keun,Brouwerij De Dolle Brouwers,Belgian-Style Pale Strong Ale
352,Grand Cru,Brasserie de l'Abbaye Val-Dieu,
353,Oerbier,Brouwerij De Dolle Brouwers,
354,Dulle Teve / Mad Bitch,Brouwerij De Dolle Brouwers,
355,Vuuve,Brouwerij De Regenboog,
356,Gouden Carolus Tripel,Brouwerij Het Anker,
357,Gouden Carolus Ambrio 1471,Brouwerij Het Anker,
358,Pauwel Kwak,Brouwerij Bosteels,
359,Delirium NoÃ«l,Brouwerij Huyghe,Other Belgian-Style Ales
360,Rochefort 10,Abbaye Notre Dame du St Remy,Belgian-Style Quadrupel
361,McChouffe,Brasserie D'Achouffe,Dark American-Belgo-Style Ale
362,471 Double IPA,Breckenridge Brewery,American-Style India Pale Ale
363,La Chouffe Golden Ale,Brasserie D'Achouffe,Belgian-Style Pale Strong Ale
364,Saison Voisin,Brasserie des Gants,
365,Olde Expensive Ale,Burton Bridge Brewery,Old Ale
366,Quadrupel,Bierbrouwerij De Koningshoeven,
367,Tripel,Bierbrouwerij De Koningshoeven,
368,Dubbel,Bierbrouwerij De Koningshoeven,
369,Old Growler,Nethergate Brewery Co Ltd,Porter
370,Urthel Vlaemse Bock,De Leyerth Brouwerijen,Traditional German-Style Bock
371,Watou Tripel,Brouwerij St. Bernardus,Belgian-Style Tripel
372,Matilda,Goose Island Beer Company - Fulton Street,
373,Old Engine Oil Special Reserve (aged in malt whisky casks),Harviestoun Brewery,
374,Imperial Stout,Odell Brewing,American-Style Stout
375,EKU 28,Kulmbacher Brauerei AG,Traditional German-Style Bock
376,Eisbock,Kulmbacher Brauerei AG,Traditional German-Style Bock
377,Doppelbock Dunkel,Schloss Eggenberg,German-Style Doppelbock
378,Special London Ale,Youngs & Company Brewery,Old Ale
379,Oatmeal Stout,Youngs & Company Brewery,American-Style Stout
380,Super,Birrificia Le Baladin,
381,Wayan,Birrificia Le Baladin,
382,GABF 25th Year Beer,Boulder Beer Company,Extra Special Bitter
383,Old Foghorn 2006,Anchor Brewing,
384,Grand Cru 2006,AleSmith Brewing,
385,Cerveza Negra,Cervecera Jerome,American-Style Stout
386,Cerveza Diablo,Cervecera Jerome,American-Style Lager
387,Cerveza Roja,Cervecera Jerome,German-Style Oktoberfest
388,Buffalo Belgian Stout,Brouwerij Van Den Bossche,
389,Rader AmbrÃ©e,Brennerei-Distillerie Radermacher,
390,Rader Blonde,Brennerei-Distillerie Radermacher,
391,Toleration,Hambleton Ales,
392,English Ale,St Peter's Brewery,American-Style Pale Ale
393,Ripon Jewel Ale,Daleside Brewery,American-Style Pale Ale
394,XTra,Brasserie Thiriez,
395,Bam BiÃ¨re,Jolly Pumpkin Artisan Ales,French & Belgian-Style Saison
396,Samichlaus Bier 2005,Schloss Eggenberg,Traditional German-Style Bock
397,Barleywine,Green Flash Brewing,American-Style Barley Wine Ale
398,Old Godfather,Speakeasy Ales and Lagers,
399,Aventinus Weizen-Eisbock,Private Weissbierbrauerei G. Schneider & Sohn GmbH,Traditional German-Style Bock
400,Aventinus Weizenstarkbier / Doppel Weizen Bock,Private Weissbierbrauerei G. Schneider & Sohn GmbH,South German-Style Weizenbock
401,New Belgium Trippel Belgian Style Ale,New Belgium Brewing,Belgian-Style Tripel
402,Hennepin Farmhouse Ale,Brewery Ommegang,
403,Abbey Belgian Style Ale,New Belgium Brewing,Belgian-Style Dubbel
404,India Pale Ale,Sierra Nevada Brewing Co.,American-Style Pale Ale
405,Bigfoot 2006,Sierra Nevada Brewing Co.,
406,Iron Fist Pale Ale,Revolution Brewing LLC,American-Style Pale Ale
407,Demolition,Goose Island Beer Company - Fulton Street,American-Style Lager
408,Oro de Calabaza,Jolly Pumpkin Artisan Ales,Belgian-Style Pale Strong Ale
409,La Roja,Jolly Pumpkin Artisan Ales,American-Style Amber/Red Ale
410,Brother Thelonious,North Coast Brewing Company,
411,Hop Trip Fresh Hop Pale Ale,Deschutes Brewery,American-Style Pale Ale
412,Organic Belgian Ale,Bison Brewing,
413,Nieuw Ligt Grand Cru 2006,Stadsbrouwerij De Hemel,
414,Hibernation Ale,Great Divide Brewing,Old Ale
415,Wee Heavy Winter Ale,Hale's Ales #3,Scotch Ale
416,2Â° Below,New Belgium Brewing,Extra Special Bitter
417,Monkey Wrench Dark Ale,Daleside Brewery,Porter
418,Old Legover,Daleside Brewery,
419,Hercules Double IPA,Great Divide Brewing,American-Style India Pale Ale
420,Fresh Hop Pale Ale,Great Divide Brewing,American-Style Pale Ale
421,Twisted Thistle India Pale Ale,Belhaven Brewery,American-Style Pale Ale
422,Espresso Stout,Upstream Brewing Company at Legacy,
423,Inversion IPA,Deschutes Brewery,American-Style India Pale Ale
424,India Pale Ale,Meantime Brewing Company Limited,American-Style Pale Ale
425,London Porter,Meantime Brewing Company Limited,Porter
426,Hitachino Nest Celebration Ale 2006,Kiuchi Shuzou Goushi Kaisya,
427,Rubia,Cervecera Jerome,American-Style Lager
428,Session Premium Lager,Full Sail Brewing #1,American-Style Lager
429,Mocny BOSS / BOSS Beer,BOSS Browar Witnica S.A.,American-Style Lager
430,La Rossa,Birra Moretti,Traditional German-Style Bock
431,Blue Paddle Pilsener,New Belgium Brewing,German-Style Pilsener
432,Lager,Cervejaria de Macau,American-Style Lager
433,Hell,Bamberger Mahr's-Bru,
434,Pilsner,Bamberger Mahr's-Bru,
435,Ungespundet Lager Hefetrub,Bamberger Mahr's-Bru,
436,Keller-Bier,St. GeorgenBru Modschiedler KG,
437,Imperial Porter,Thunderhead Brewery #2,Porter
438,Amber Ale,Thunderhead Brewery #2,American-Style Amber/Red Ale
